identifier,fw_group,city_town,survey_title,date,property_owner,neighbors,streets,notes,background_notes,related_registry_doc,surveyor,publisher,surveyor_no,fw_ref,scale,latitude,longitude,form_genre,no_sheets,pieces,sides,dimensions_in,material,condition_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_971,Beacon Entrance to Back Bay Park,"Boston, MA",[Beacon Entrance to Back Bay Park - Plan No. 4],1883-01-23,,,Beacon Street; Commonwealth Avenue; Marlborough Street; Newbury Street; West Chester Park [Massachusetts Avenue]; Charles River; Beacon Entrance to Back Bay Park [Charlesgate],"Subdivision plan showing 3 sets of lots divided by Marlborough Street and private alleyways. One section titled ""Plan No. 4"". Date is penciled in red. Notation at intersection of West Chester Park (Mass Avenue) and Charles River says Proposed Bridge to Cambridge. Features indecipherable pencil notation dated Feb. 7, 1883.",,,Fuller & Whitney,,971-984,,1 in = 100 ft,42.34953279,-71.0929,Survey Plan,1,,1,15.5 x 13.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_972,,"Boston, MA","Plan No. 9 of Back Bay Lands showing Assesors's Valuation of Vacated Land with names of owners, areas and Location of Estates",1883-01-01,"Ames, J. B.; Ames, Mary H.; Ames, Oliver; B.W.P. Co.; Binney, Wm. G & John F. Brinton; Boston Water Power Co.; Bowditch, J. Ingersoll; Brown, H.T.; Brown, Rufus H.; Clark, Susan N.; Clifford, J. W.; Edwards, Jacob; Estabrook, Rufus; Foster, Jas. & J.H.; Foy, Lavina; Francis Estate, Trustees of; Harmon, M. ; Harvard College; Hatheway, Asa P.; Haven, Franklin; Hoyt, Eliz. G.; Lawrence, Amos. A.; Lincoln, W.H.L. & Edward P. Shaw; Pomeroy, R.M.; Read, E.M.; Sandford, Oliver S.; Sears, David; Sears, Emily; Sears, F.W. & K.W. Sears; Shaw, Edward P.; Shimmin, John P.; Taylor, J.; Thayer, Frank; Union Mutual Life Ins.; Vila, Luke; Weld, Sam ",Brookline Branch Railroad,Brookline Avenue; Hawes Street; Longwood Avenue; Longwood Entrance [Fenway; Lost Emerald Necklace]; Maple Avenue; Miner Street; Plymouth Street; Woodstock Street,"Street layout showing land, owner's names, areas, and values (most under $1.00). Note on verso says ""for tracing see profiles""",,,Fuller & Whitney,,972-985,,1 in = 200 ft,42.33945561,-71.1044,Survey Plan,1,,1,14 X 16,Blueprint,Sheet is backed on linen or other textile.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_973,,"Medford, MA; Stoneham, MA",Map of Middlesex Fells showing the territory situated in various towns designed to be set apart as a Public Domain for the preservaton and production of forest trees and the water supply of many cities and towns.,1882-11-01,,,Towns of Medford; Stoneham; parts of Melrose; Winchester; Malden Highlands. Bare Hill; Doleful Pond; Spot Pond; Winchester South Reservoir; Tailor Mt. Highland Avenue; Pond Street; Wyoming Street; Elm Street; Meetinghouse Street; other features,"Map showing shaded area of land with emphasis on roads, waterways, . Streets of surrounding towns shown. Includes list of five map authorities used to compile map. Note on verso says For Elijah Wright; 50 copies Nov. 25 '80.",,,Fuller & Whitney,,973-986,,1 in = 1000 ft,42.4481934,-71.1043,Map,1,,1,14.5 X 16.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_974,,"Medford, MA; Stoneham, MA",Map of Middlesex Fells showing the territory situated in various towns designed to be set apart as a Public Domain for the preservaton and production of forest trees and the water supply of many cities and towns.,1882-11-01,,,Towns of Medford; Stoneham; parts of Melrose; Winchester; Malden Highlands. Bare Hill; Doleful Pond; Spot Pond; Winchester South Reservoir; Tailor Mt. Highland Avenue; Pond Street; Wyoming Street; Elm Street; Meetinghouse Street; other features,"Map showing shaded area of land with emphasis on roads, waterways, . Streets of surrounding towns shown. Includes list of five map authorities used to compile map. Note on verso says For Elijah Wright; 12 copies Dec. 30 '82; 12 copies Feb. 3 '83; 12 copies Jun 14 '83. Made changes and delivered Jun. 14 '83.","Same map as 973-986 but edges are more torn, taped",,Fuller & Whitney,,974-987,,1 in = 1000 ft,42.4481934,-71.1043,Map,1,,1,14.5 X 16.5,Blueprint,Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_975,Ivory Bean Lots,"Boston, MA","Plan of House Lots on West Newton, St. Botolph & Follen Streets",1883-01-31,"Bean, Ivory",Boston & Providence Railroad,Berwick Park; Carlton Street; Follen Street; St. Botolph Street; West Newton Street,"Subdivision plan showings one block of lots numbered 1 through 27. Another block numbered 230 -250. First section included 18 lots that are reserved. Includes 1212-foot-wide passageway. Note on verso says ""copy of tracing for record made for I. Bean.",See other plans of Ivory Bean's lots.,,Fuller & Whitney,,975-988,610,1 in = 30 ft,42.34457911,-71.0799,Survey Plan,1,,1,13.5 X 16,Blueprint,Damaged binding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_976,Marlborough St / West Chester Park,"Boston, MA","[Untitled - Beacon Street, Commonwealth Avenue, Marlborough Street, West Chester Park]",1883-02-07,,,Beacon Street; Commonwealth Avenue; Marlborough Street; Newbury Street; West Chester Park [Massachusetts Avenue],Plan showing two lots with square footage and dimensions.,Enlargement of plans showing subdivision at Marlborough and Westchester Park.,,Fuller & Whitney,,976-989,"39, 40",1 in = 60 ft,42.34953279,-71.0929,Survey Plan,1,,1,15.5 x 13.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_977,Marlborough St / West Chester Park,"Boston, MA","[Untitled - Beacon Street, Commonwealth Avenue, Marlborough Street, West Chester Park]",1883-02-07,,,Beacon Street; Commonwealth Avenue; Marlborough Street; Newbury Street; West Chester Park [Massachusetts Avenue]; Charles River; Beacon Entrance to Back Bay Park [Charlesgate],Plan showing two lots with square footage and dimensions. V Is enlargement of plans showing subdivision at Marlborough and Westchester Park.,Variant of Plan #977-989,,Fuller & Whitney,,977-990,"39, 40",1 in = 60 ft,42.34953279,-71.0929,Survey Plan,1,,1,11.5 x 13.5,Blueprint,Damaged binding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W36_978,Beacon Entrance to Back Bay Park,"Boston, MA","[Untitled - Beacon Street, Commonwealth Avenue, Marlborough Street, West Chester Park]",1885-03-10,,Boston & Albany Railroad,Beacon Street; Brighton Avenue; Brookline Avenue; Commonwealth Avenue; Lambett St. [Kenmore St.]; Marlborough Street; Newbury Street; West Newbury Street; West Chester Park [Massachusetts Avenue]; Charles River; Beacon Entrance to Back Bay Park [Charlesgate],Subdivision Plan showing 31 lots spread over 4 sections and alleyways. Lots include dimensions and square footage. Possibly erased labelling of Jersey and Kensington Streets (now Charlesgate). Notation at intersection of West Chester Park (Mass Avenue) and Charles River says Proposed Bridge to Cambridge.,,,Fuller & Whitney,,978-991,,1 in = 100 ft,42.34879536,-71.0924,Survey Plan,1,,1,27.5 x 16.5,Blueprint,2 panels taped. Tears.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W36_979,,"Boston, MA",[Untitled - Copley Square and adjacent streets],1883-03-12,,Institute of Fine Arts; Trinity Church.,Clarendon Street; Copley Square; Dartmouth Street; Huntington Avenue; St. James Avenue,"Street layout showing convergence of multiple streets at Copley Square, with small triangular island of 5380 feet. Illegible penciled notation.",The Institute of Fine Arts (the forerunner of the current Museum of Fine Arts) occupied the site of the current Fairmount Copley Hotel between 1876 and 1909.,,Fuller & Whitney,,979-992,,1 in = 60 ft,42.35002438,-71.0765,Survey Plan,1,,1,16 x 13,Blueprint,2 panels taped.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W36_980,Beacon Entrance to Back Bay Park,"Boston, MA","[Untitled - Beacon Street, Commonwealth Avenue, Marlborough Street, West Chester Park]",1885-03-10,,Boston & Albany Railroad,Beacon Street; Brighton Avenue; Brookline Avenue; Commonwealth Avenue; Lambett St. [Kenmore St.]; Marlborough Street; Newbury Street; West Newbury Street; West Chester Park [Massachusetts Avenue]; Charles River; Beacon Entrance to Back Bay Park [Charlesgate],Subdivision Plan showing 31 lots spread over 4 sections and alleyways. Lots include dimensions and square footage. Penciled in red labelling of Ipswich and Jersey Streets (now Charlesgate East and West).. Notation at intersection of West Chester Park (Mass Avenue) and Charles River says Proposed Bridge to Cambridge. Verso contains notes about distributions and transaction involving Mr. Howe of Newbury Street.,Plan is variant of 979-993 with lot #1 divided into 3 sub-lots.,,Fuller & Whitney,,980-993,,1 in = 100 ft,42.34879536,-71.0924,Survey Plan,1,,1,27.5 x 16.5,Blueprint,2 panels taped.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W36_981,,"Boston, MA",Statement of McMillan and Moore's title to lots on Baldwin and Water Streets [Sheet 1 of 5],1883-03-22,"Crafts & Hathway; Francis, E.; Sears, David; Treadwell, D.",,Francis Street [Discontinued]; Parker Street [Discontinued]; Massachusetts Avenue,Five-page document. Right side of first sheet shows street layout with subdivision consisting of 90 lots divided into two rows. Left side contains handwritten narrative related to land transactions between 1822 and 1870s.,"Multipage document. May relate to surveyors' work on the landfill of Boston Back Bay, which involved negotiations between Francis, Sears, Mill Dam Foundry, and other parties. Francis and Parker Streets were discontinued. https://backbayhouses.org/boston-water-power-company-lands-in-the-back-bay/",,Fuller & Whitney,,981-994,,1 in = 200 ft,42.33207,-71.0974,Survey Plan - Statement,5,,1,14 x 16.5,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W36_986,Beacon Entrance to Back Bay Park,"Boston, MA",[Beacon Entrance to Back Bay Park - Plan No. 5],1883-03-24,,,Beacon Street; Commonwealth Avenue; Marlborough Street; Newbury Street; West Chester Park [Massachusetts Avenue]; Charles River; Beacon Entrance to Back Bay Park; Kensington Street [Charlesgate West]; Jersey Street [Charlesgate East],"Subdivision plan showing 3 sets of lots divided by Marlborough Street and private alleyways. Includes 20 numbered lots and four large end unnumbered lots. One section titled ""Plan No. 5"". Notation: ""Areas are approximate."" Notation at intersection of West Chester Park (Mass Avenue) and Charles River says Proposed Bridge to Cambridge.",See other variants of this subdivision.,,Fuller & Whitney,,986-995,,1 in = 100 ft,42.34953279,-71.0929,Survey Plan,1,,1,16 x 14.5,Blueprint,Damaged binding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W36_987,,"Boston, MA",[Untitled - Copley Square and adjacent streets],1883-04-04,,,Copley Square; Huntington Avenue; St. James Avenue; Trinity Place,"Street layout showing convergence of multiple streets at Copley Square, with small triangular island with area of 5404. Island shows red penciled dotted line and number 482. Note on verso: Made rough plan on brown paper. Scale 4 ft to an inch dated August 12, 1884 for architects' use like this except that it showed the red addition to this plan (15-foot line) in Black on this plan.",See Plan #979-992 for earlier version.,,Fuller & Whitney,,987-996,,1 in = 30 ft,42.35002438,-71.0765,Survey Plan,1,,1,16 x 13,Blueprint,2 panels taped.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W36_988,,"Boston, MA","[Untitled - Dartmouth Street, Huntington Avenue, and adjacent streets]",1883-04-09,,Boston & Albany Railroad; Boston & Providence Railroad,Dartmouth Street; Harcourt Street; Huntington Avenue; St. Botolph Street; West Canton Street; Yarmouth Street [Yarmouth Square],Street layout/lot plan showing area footages for 3 lots and street corner.,,,Fuller & Whitney,,988-997,,1 in = 100 ft,42.34628288,-71.0777,Survey Plan,1,,1,13.5 x 12,Blueprint,Damaged binding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W36_989,Huntington Street Lands,"Boston, MA",[Huntington Avenue],1883-04-10,,Exhibition Building; Hotel Huntington; Hotel Oxford; Institute of Fine Arts; Title Company. ,Buckingham Street; Dartmouth Street; Exeter Street; Garrison Street; Harcourt Street; Harwich Street [Yarmouth Square]; Holyoke Street; Huntington Avenue; St. James Avenue; St. Botolph Street; Truro Street [Yarmouth Place]; West Canton Street; Yarmouth Street,"Subdivision plan showing 8 lots with square footages. Red pencil note says ""Areas are approx.""",,,Fuller & Whitney,,989-998,,1 in = 100 ft,42.34628288,-71.0777,Survey Plan,1,,1,16 x 14,Blueprint,Damaged binding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W36_990,West Chester Park / Boylston Street,"Boston, MA",[Untitled - Plan No. 1],1883-04-02,"Boston Water Power Co.; Gregory, Fred.",Boston & Albany Railroad,Astor Street [Hemenway Street]; Back Bay Park {Back Bay Fens]; Boylston Street; Dalton Street; Falmouth Street [St. Stephen]; Gloucester Street; Hereford Street; Parker Street [Fenway]; West Chester Park [Massachusetts Avenue]; Westland Avenue,Subdivision plan showing delineation of lots in Back Bay. Five red penciled notations indicate square footages for Boston Water Power Co. ,Is upper half of 989-1000. Boston Water Power Co. was major landholder at time the Back Bay Lands were being developed. It sold most of its holdings between 1863-1880.,,Fuller & Whitney,,990-999,,1 in = 100 ft,42.34626961,-71.087,Survey Plan,1,,1,31.5 x 16,Blueprint,3 panels taped.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W36_991,West Chester Park / Boylston Street,"Boston, MA",[Untitled - Plan No. 1 - Continuation],1883-04-02,"Boardman, Thos. H.; Boston Water Power Co.; Caldwell, Alex; Cole, Malcolm B.; Drew, Hannah H; Eaton, Jas.; Edwards, Jas.; Eliot Land Company; Gregory, Fred.; Mercantile Land Company; Moore, Ira L.; New England Manufacturers & Mechanics Institute Building; Sumner, Eben",Boston & Providence Railroad,Albemarle Street; Blackwood Street; Camden Street; Columbus Avenue; Cumberland Street; Hemingway Park Extension; Huntington Avenue; Parker Street [Fenway]; Rogers Avenue [Forsythe Street]; St. Botolph Street; Wellington Street; West Chester Park [Massachusetts Avenue],Apparent continuation of 989-998. Subdivision plan showing delineation of lots in Back Bay. Red penciled notations indicate square footages for Boston Water Power Co. ,Is bottom half of 989-998. Boston Water Power Co. was major landholder at time the Back Bay Lands were being developed. It sold most of its holdings between 1863-1880.,,Fuller & Whitney,,991-1000,,1 in = 100 ft,42.34626961,-71.087,Survey Plan,1,,1,31.5 x 16,Blueprint,2 panels taped. One panel has hole.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W36_992,West Chester Park / Boylston Street,"Boston, MA",[Untitled - Plan No. 2],1883-04-02,Boston Storage Warehouse; Boston Water Power Co.; Gray; Gregory; Mercantile Land Co.; Snelling;,Boston & Albany Railroad,Astor Street [Hemenway Street]; Back Bay Park {Back Bay Fens]; Boylston Street; Dalton Street; Falmouth Street [St. Stephen]; Gloucester Street; Hereford Street; Huntington Avenue; Parker Street [Fenway]; West Chester Park [Massachusetts Avenue]; West Newton Street; Westland Avenue,Subdivision plan showing delineation of lots in Back Bay. Red penciled notations indicate square footages for Boston Water Power Co. ,Is upper half of 992-1001. Boston Water Power Co. was major landholder at time the Back Bay Lands were being developed. It sold most of its holdings between 1863-1880.,,Fuller & Whitney,,992-1001,,1 in = 100 ft,42.3432642,-71.0859,Survey Plan,1,,1,31.5 x 16,Blueprint,3 panels taped. Tear.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W36_993,West Chester Park / Boylston Street,"Boston, MA",[Untitled - Plan No. 2 - Continuation],1883-04-02,,Boston & Providence Railroad,Albemarle Street; Blackwood Street; Camden Street; Columbus Avenue; Cumberland Street; Hemingway Park Extension; Huntington Avenue; Northampton Street; Parker Street [Fenway]; Rogers Avenue [Forsythe Street]; St. Botolph Street; Wellington Street; West Chester Park [Massachusetts Avenue],Subdivision plan showing delineation of lots in Back Bay. Red penciled notations indicate square footages for Boston Water Power Co. ,Is bottom half of 992-1001,,Fuller & Whitney,,993-1002,,1 in = 100 ft,42.3432642,-71.0859,Survey Plan,1,,1,31.5 x 16,Blueprint,3 panels taped.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W36_994,West Chester Park / Boylston Street,"Boston, MA",[Untitled - Plan No. 3],1883-04-02,"Boston Storage Warehouse; Boston Water Power Co.; Gregory, Fred; Massachusetts Charitable Mechanics Association",Boston & Albany Railroad; ,Astor Street [Hemenway Street]; Back Bay Park {Back Bay Fens]; Boylston Street; Dalton Street; Falmouth Street [St. Stephen]; Gloucester Street; Hereford Street; Huntington Avenue; Parker Street [Fenway]; West Chester Park [Massachusetts Avenue]; West Newton Street; Westland Avenue,Subdivision plan showing delineation of lots in Back Bay. Red penciled notations indicate square footages for Boston Water Power Co. ,"Is upper half of 995-1004. Shows several unlabeled streets, including one labeled ""Old Road forty feet wide."" May be prototypes for Belvedere, Cambria, St. Germain, Scotia as well as streets bounded by Fenway, Mass. Avenue, Westland Avenue.",,Fuller & Whitney,,994-1003,,1 in = 100 ft,42.3432642,-71.0859,Survey Plan,1,,1,31.5 x 16,Blueprint,3 panels taped.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W36_995,West Chester Park / Boylston Street,"Boston, MA",[Untitled - Plan No. 3 - Continuation],1883-04-02,"Boston Water Power Co.; Cole, Malcolm B.; Drew, Hannah H; Eaton, Jas.; Edwards, Jas.; Eliot Land Company; New England Manufacturers & Mechanics Institute Building; Sumner, Eben",Boston & Providence Railroad,Albemarle Street; Blackwood Street; Camden Street; Columbus Avenue; Cumberland Street; Hemingway Park Extension; Huntington Avenue; Northampton Street; Parker Street [Fenway]; Rogers Avenue [Forsythe Street]; St. Botolph Street; Wellington Street; West Chester Park [Massachusetts Avenue],Subdivision plan showing delineation of lots in Back Bay. Red penciled notations indicate square footages for Boston Water Power Co. ,Is bottom half of 994-1003,,Fuller & Whitney,,995-1004,,1 in = 100 ft,42.3432642,-71.0859,Survey Plan,1,,1,31.5 x 16,Blueprint,3 panels taped. Seam damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W36_996,Bay State Road,"Boston, MA",[Untitled - Beacon Street - Plan No. 1],1883-04-16,,,Bay State Road; Beacon Street; Commonwealth Avenue; Brighton Avenue; Brookline Avenue; Beacon Entrance to Back Bay Park; Charles River,"Subdivision plan showing 113 lots spread over multiple blocks, bisected by new streets and alleyways. Note: Waste in streets and passageways 25 per cent. Original issuance date of April 21 crossed out; April 16 in red pencil. Extent of development is west to Deerfield Street.","Part of a series of plans for the Back Bay area that is now Baystate Road at Deerfield. Per 1880s Atlases, the land was owned by Boston & Roxbury Mill Corp. and Charles F. and John Q. Adams.",,Fuller & Whitney,,996-1005,585,1 in = 100 ft,42.35012945,-71.0977,Survey Plan,1,,1,16.5 x 14,Blueprint,Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W36_997,Bay State Road,"Boston, MA",[Untitled - Beacon Street - Plan No. 1 / 2],1883-04-16,,,Bay State Road; Beacon Street; Commonwealth Avenue; Brighton Avenue; Brookline Avenue; Beacon Entrance to Back Bay Park; Charles River,"Subdivision plan showing 109 lots spread over multiple blocks, bisected by new streets and alleyways. Shows dotted lines for sewer line. Note: Waste in streets and passageways 27 per cent. Original issuance date of April 21 crossed out; April 16 in red pencil.","Part of a series of plans for the Back Bay area that is now Baystate Road at Deerfield. Per 1880s Atlases, the land was owned by Boston & Roxbury Mill Corp. and Charles F. and John Q. Adams.",,Fuller & Whitney,,997-1006,585,1 in = 100 ft,42.35012945,-71.0977,Survey Plan,1,,1,16.5 x 14,Blueprint,Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
